metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
fructose/glucose/galactose	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CE(18:2)	0	0	NA	NA	NA	3	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CE(20:4)	0	0	NA	NA	NA	1	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
CE(22:5)	0	0	NA	NA	NA	3	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
TG(48:1)	0	0	NA	NA	NA	0	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
TG(50:1)	0	0	NA	NA	NA	13	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
TG(50:2)	0	0	NA	NA	NA	0	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
TG(53:2)	0	0	NA	NA	NA	13	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
TG(53:3)	0	0	NA	NA	NA	13	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
TG(54:3)	0	0	NA	NA	NA	13	0	NA	NA	NA	309	27	2.31771919654502e-17	3.70835071447204e-17	C3/CCL21/TP53/IFNA1/ATM/IL18/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/PAK2/GSK3B/CYP3A4/CCR6/CXCL12/CXCR4/OPRM1/TNF/VDR
NH4_CE(22:5)	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
2-aminobutyrate	0	0	NA	NA	NA	25	2	0.0277024494159088	0.0320765203763154	PPIA/B2M	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
2-hydroxy-3-methylbutyrate/hydroxyisovalerate	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
2-hydroxy-3-methylpentanoate/hydroxyisocaproate	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
2-hydroxyglutarate	0	0	NA	NA	NA	11	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
2-isopropylmalate	0	0	NA	NA	NA	2	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
3-methyladipate/pimelate	0	0	NA	NA	NA	0	0	NA	NA	NA	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
adipate/methylglutarate	0	0	NA	NA	NA	0	0	NA	NA	NA	453	17	5.88497847314936e-06	7.24305042849151e-06	RETN/IL2/IL4/LRP1/IL6/ICAM1/VCAM1/LEP/CYP3A4/CAV1/MAPK8/MME/PTGS2/PLA2G2A/NCOR2/TNF/GC
adonitol/arabitol	0	0	NA	NA	NA	0	0	NA	NA	NA	160	10	7.18460699354505e-06	8.43696968049328e-06	AICDA/NR3C1/HEXB/SELP/HEXA/SLC28A1/GLB1/SOD2/SLC28A3/APOBEC3G
alpha-glycerophosphate	0	0	NA	NA	NA	45	0	NA	NA	NA	160	10	7.18460699354505e-06	8.43696968049328e-06	AICDA/NR3C1/HEXB/SELP/HEXA/SLC28A1/GLB1/SOD2/SLC28A3/APOBEC3G
alpha-keto-beta-methylvalerate/alpha-ketoisocaproate	0	0	NA	NA	NA	0	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
alpha-ketoisovalerate	27	0	NA	NA	NA	10	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
aspartate	466	28	8.17008037067411e-14	1.96081928896179e-13	CD4/TGFB1/LRP1/C3/HEXB/CD27/TP53/NCR1/CCR5/CD209/GSK3B/CD28/PDCD1/CAV1/NCR3/DPP4/MAPK8/EPHB2/CXCR4/TNF/ESR1/SERPINA1/MME/KLRC1/HEXA/CCL18/NEFL/B2M	165	8	0.000346441137866604	0.000544407502361806	PSMD7/SLC1A2/GLB1/HLA-G/HLA-C/HLA-A/HLA-B/B2M	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
erythronate/threonate	0	0	NA	NA	NA	0	0	NA	NA	NA	160	10	7.18460699354505e-06	8.43696968049328e-06	AICDA/NR3C1/HEXB/SELP/HEXA/SLC28A1/GLB1/SOD2/SLC28A3/APOBEC3G
ethyl glucuronide	0	0	NA	NA	NA	39	2	0.0622686210769496	0.0684954831846446	CCL11/DPP4	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
fumarate/maleate	0	0	NA	NA	NA	0	0	NA	NA	NA	23	0	NA	NA	NA
glutamate	0	0	NA	NA	NA	569	26	2.92136000627332e-10	1.28539840276026e-09	PSMD7/C3/CCL21/SLC1A2/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/HLA-G/HLA-C/HLA-A/CXCL12/CXCR4/OPRM1/HLA-B/IL10/B2M	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
glycerate	37	0	NA	NA	NA	11	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
hippurate	0	0	NA	NA	NA	5	0	NA	NA	NA	1850	85	6.19868786306961e-34	1.44260372085984e-33	CX3CL1/CD4/PSMD7/TGFB1/CCL2/IL2/IFNG/AICDA/IL4/NR3C1/SELL/LRP1/C3/CRP/IL6/CCL21/CDH1/SELP/ICAM1/ABCB1/TP53/IFNA1/SLC1A2/IL18/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/VCAM1/CXCR1/CCR1/IL15/TLR3/IL16/CXCR6/CEBPB/CXCL10/IL8/CXCL11/GLB1/CCL19/LEP/PAK2/SLC28A2/PRF1/HSPA5/CYP2B6/VIPR1/BCL2/F3/CYP3A4/CAV1/CCR6/HLA-DQA1/FAS/CX3CR1/CASP8/HLA-G/MAPK8/PTGS2/FASLG/MKI67/CDK9/PLA2G2A/HLA-C/SLC28A3/HLA-A/PCNA/TLR7/GPX3/CXCL12/HLA-DQB1/NCOR2/CXCR4/OPRM1/TNF/HLA-B/IL10/PPIA/GC/IDO1/VDR/B2M
alpha-hydroxybutyrate/beta-hydroxybutyrate/hydroxyisobutyrate	0	0	NA	NA	NA	0	0	NA	NA	NA	197	18	2.8388556648327e-12	4.17670718504121e-12	C3/CCL21/CXCL13/CXCR5/CCR2/CCR5/CCL5/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/CCL19/CCR6/CXCL12/CXCR4/OPRM1
inosine	0	0	NA	NA	NA	1	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
itaconate	0	0	NA	NA	NA	4	0	NA	NA	NA	838	43	2.73376263399712e-18	4.92847348100889e-18	CX3CL1/PSMD7/C3/IL6/CCL21/IDH1/CCNT1/TP53/SLC1A2/SLC28A1/CXCL13/CXCR5/CCR2/CCR5/CCL5/BAX/CXCR1/CCR1/CXCR6/CXCL10/IL8/CXCL11/GLB1/CCL19/SLC28A2/VIPR1/F3/CCR6/CASP8/HLA-G/DPP4/PTGS2/CDK9/HLA-C/SLC28A3/HLA-A/CXCL12/CXCR4/OPRM1/TNF/HLA-B/IL10/B2M
