Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Biological Process	GO:0006939	(BP)smooth muscle contraction	25/228	109/18870	3.43560887991762e-25	1.10064415389361e-22	7.24601145582625e-23	RGS2/GHSR/NMUR2/CHRM3/HTR2B/NMU/PROK2/PTAFR/TACR3/TACR1/NMUR1/BDKRB2/EDNRA/F2R/OXTR/EDN3/PTGS2/EDN2/ADA/TACR2/EDNRB/HTR2A/EDN1/ADRA1A/TBXA2R	25
Biological Process	GO:0019229	(BP)regulation of vasoconstriction	21/228	64/18870	5.4287747713166e-25	1.59425019117664e-22	1.04956312245454e-22	CHRM3/AGTR1/AVPR1A/TACR1/ADRA1B/BDKRB2/F2R/OXTR/EDN3/AGT/PTGS2/EDN2/CYSLTR1/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CASR	21
Biological Process	GO:0045987	(BP)positive regulation of smooth muscle contraction	16/228	30/18870	1.51834081149754e-23	4.11587155362871e-21	2.70965437128791e-21	GHSR/CHRM3/NMU/PROK2/PTAFR/TACR3/TACR1/F2R/OXTR/PTGS2/EDN2/ADA/TACR2/EDN1/ADRA1A/TBXA2R	16
Biological Process	GO:0045933	(BP)positive regulation of muscle contraction	18/228	47/18870	5.12148869188662e-23	1.28915186787203e-20	8.48703840369782e-21	RGS2/GHSR/CHRM3/NMU/PROK2/PTAFR/TACR3/TACR1/F2R/OXTR/HSP90AA1/PTGS2/EDN2/ADA/TACR2/EDN1/ADRA1A/TBXA2R	18
Biological Process	GO:0006940	(BP)regulation of smooth muscle contraction	18/228	61/18870	1.26786744729186e-20	2.978643256171e-18	1.96096831847807e-18	RGS2/GHSR/NMUR2/CHRM3/NMU/PROK2/PTAFR/TACR3/TACR1/F2R/OXTR/PTGS2/EDN2/ADA/TACR2/EDN1/ADRA1A/TBXA2R	18
Biological Process	GO:1903522	(BP)regulation of blood circulation	29/228	258/18870	6.9092144501898e-20	1.5217544826543e-17	1.00183609527752e-17	RGS2/CHRM3/AGTR1/AVPR1A/TACR3/TACR1/ADRA1B/BDKRB2/PRKACA/ADRBK1/EDNRA/F2R/OXTR/HSP90AA1/EDN3/AGT/PTGS2/EDN2/ADA/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CASR	29
Biological Process	GO:0003012	(BP)muscle system process	36/228	452/18870	1.90454729674045e-19	3.94801451394902e-17	2.59914689908108e-17	UTS2/HMOX1/RGS2/GHSR/NMUR2/CHRM3/HTR2B/PPARA/PIK3CA/NMU/PROK2/PTAFR/TACR3/TACR1/P2RY1/NMUR1/ADRA1B/LTB4R/BDKRB2/PRKACA/ADRBK1/EDNRA/F2R/OXTR/HSP90AA1/EDN3/AGT/PTGS2/EDN2/ADA/TACR2/EDNRB/HTR2A/EDN1/ADRA1A/TBXA2R	36
Biological Process	GO:0009410	(BP)response to xenobiotic stimulus	35/228	434/18870	4.26668827015877e-19	7.94023247892415e-17	5.22739482153917e-17	OTC/SULT2A1/GCLC/HTR2B/CDH1/CYP46A1/LPO/ABCB1/TP53/ABCG8/SRD5A1/CASP3/NQO1/OXTR/HSP90AA1/CYP3A4/ACACB/CYP1A2/UGT1A10/TOP1/PNP/PTGS2/ADA/SLC29A3/UGT1A7/UGT1A8/HTR2A/EDN1/ADRA1A/NFE2L2/RELA/UGT2B11/TBXA2R/CPS1/UGT1A3	35
Biological Process	GO:0006936	(BP)muscle contraction	32/228	351/18870	4.28105610384673e-19	7.94023247892415e-17	5.22739482153917e-17	UTS2/RGS2/GHSR/NMUR2/CHRM3/HTR2B/PIK3CA/NMU/PROK2/PTAFR/TACR3/TACR1/NMUR1/ADRA1B/LTB4R/BDKRB2/PRKACA/ADRBK1/EDNRA/F2R/OXTR/HSP90AA1/EDN3/PTGS2/EDN2/ADA/TACR2/EDNRB/HTR2A/EDN1/ADRA1A/TBXA2R	32
Biological Process	GO:0046883	(BP)regulation of hormone secretion	27/228	251/18870	4.41204950072201e-18	7.77403122027219e-16	5.11797742083754e-16	GNA11/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/AGTR1/HTR2C/CCKAR/F2RL2/F2RL1/TRH/TACR1/P2RY1/PRKACA/FFAR3/EDN3/PLCB1/AGT/KISS1/TACR2/EDN1/NMB/GCG/CASR/GPR68	27
Biological Process	GO:0046879	(BP)hormone secretion	29/228	308/18870	9.21379755284429e-18	1.54616297982016e-15	1.01790525345708e-15	GNA11/GNRHR/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/AGTR1/HTR2C/CCKAR/F2RL2/F2RL1/TRH/TACR1/P2RY1/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/AGT/KISS1/TACR2/EDN1/NMB/GCG/CASR/GPR68	29
Biological Process	GO:0023061	(BP)signal release	35/228	484/18870	1.35172381801543e-17	2.16521578849381e-15	1.425454208089e-15	GNA11/GNRHR/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/AGTR1/HTR2C/HCRT/CCKAR/F2RL2/F2RL1/TRH/TACR1/P2RY1/PRKACA/F2R/OXTR/FFAR3/EDN3/PLCB1/ACVR2B/AGT/KISS1/PTGS2/TACR2/EDNRB/HTR2A/EDN1/NMB/GCG/CASR/GPR68	35
Biological Process	GO:0045907	(BP)positive regulation of vasoconstriction	13/228	32/18870	2.35245789150381e-17	3.50490385992478e-15	2.30742819382108e-15	AVPR1A/TACR1/F2R/OXTR/PTGS2/CYSLTR1/HTR2A/ADRA1D/AVP/ADRA1A/HRH1/TBXA2R/CASR	13
Biological Process	GO:0009914	(BP)hormone transport	29/228	319/18870	2.38699468326319e-17	3.50490385992478e-15	2.30742819382108e-15	GNA11/GNRHR/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/AGTR1/HTR2C/CCKAR/F2RL2/F2RL1/TRH/TACR1/P2RY1/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/AGT/KISS1/TACR2/EDN1/NMB/GCG/CASR/GPR68	29
Biological Process	GO:0007631	(BP)feeding behavior	19/228	106/18870	3.02018852531421e-17	4.25725774528292e-15	2.80273495149159e-15	GHSR/MCHR1/NMUR2/NMU/HTR2C/APP/HCRT/TACR3/TRH/TACR1/P2RY1/OXTR/PMCH/CCK/QRFP/NPSR1/HCRTR2/HCRTR1/GCG	19
Biological Process	GO:0006937	(BP)regulation of muscle contraction	22/228	170/18870	1.21277863406829e-16	1.64378150248333e-14	1.08217170424555e-14	RGS2/GHSR/NMUR2/CHRM3/NMU/PROK2/PTAFR/TACR3/TACR1/ADRA1B/PRKACA/ADRBK1/F2R/OXTR/HSP90AA1/PTGS2/EDN2/ADA/TACR2/EDN1/ADRA1A/TBXA2R	22
Biological Process	GO:0007202	(BP)activation of phospholipase C activity	12/228	28/18870	1.85747232948503e-16	2.42434536633527e-14	1.59605029792788e-14	HTR2B/PLCB2/GNA15/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	12
Biological Process	GO:0010517	(BP)regulation of phospholipase activity	15/228	59/18870	2.67864004239749e-16	3.37125982478884e-14	2.21944460655792e-14	RGS2/ANXA1/HTR2B/PLCB2/GNA15/AGTR1/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	15
Biological Process	GO:0006874	(BP)intracellular calcium ion homeostasis	27/228	308/18870	8.05591503785217e-16	9.78932572185898e-14	6.44473203028173e-14	BDKRB1/F2RL3/HTR2B/PLCB2/HTR2C/PLCB3/GRM1/APP/P2RY1/GRM5/PRKACA/P2RY6/XCR1/EDNRA/F2R/PLCB4/EDN3/PLCB1/NPSR1/XCL1/NTSR1/HCRTR2/EDN2/HCRTR1/HTR2A/EDN1/CASR	27
Biological Process	GO:0051047	(BP)positive regulation of secretion	27/228	310/18870	9.4694681445305e-16	1.11234685804418e-13	7.32305536510359e-14	GNA11/FFAR2/FFAR1/CHRM3/GRP/F2RL2/F2RL1/AVPR1A/PTAFR/TRH/TACR1/P2RY1/PRKACA/P2RY2/ADRBK1/OXTR/EDN3/PLCB1/KISS1/NTSR1/TACR2/EDN1/AVP/NMB/GCG/CASR/GPR68	27
Biological Process	GO:1903532	(BP)positive regulation of secretion by cell	26/228	288/18870	1.40386136223121e-15	1.59587336790412e-13	1.05063172915368e-13	GNA11/FFAR2/FFAR1/CHRM3/GRP/F2RL2/F2RL1/AVPR1A/PTAFR/TRH/TACR1/P2RY1/PRKACA/ADRBK1/OXTR/EDN3/PLCB1/KISS1/NTSR1/TACR2/EDN1/AVP/NMB/GCG/CASR/GPR68	26
Biological Process	GO:0035025	(BP)positive regulation of Rho protein signal transduction	12/228	34/18870	3.14130195829929e-15	3.4593587815771e-13	2.27744391976699e-13	P2RY10/F2RL3/GPR65/GPR17/F2RL2/F2RL1/GPR4/F2R/LPAR6/LPAR1/LPAR4/LPAR2	12
Biological Process	GO:0090257	(BP)regulation of muscle system process	24/228	247/18870	3.5370721594981e-15	3.77716433032463e-13	2.486668912132e-13	RGS2/GHSR/NMUR2/CHRM3/PPARA/NMU/PROK2/PTAFR/TACR3/TACR1/ADRA1B/PRKACA/ADRBK1/F2R/OXTR/HSP90AA1/AGT/PTGS2/EDN2/ADA/TACR2/EDN1/ADRA1A/TBXA2R	24
Biological Process	GO:0055074	(BP)calcium ion homeostasis	27/228	331/18870	4.81542751291845e-15	4.99104898691901e-13	3.285821126462e-13	BDKRB1/F2RL3/HTR2B/PLCB2/HTR2C/PLCB3/GRM1/APP/P2RY1/GRM5/PRKACA/P2RY6/XCR1/EDNRA/F2R/PLCB4/EDN3/PLCB1/NPSR1/XCL1/NTSR1/HCRTR2/EDN2/HCRTR1/HTR2A/EDN1/CASR	27
Biological Process	GO:0071868	(BP)cellular response to monoamine stimulus	16/228	87/18870	6.74171652145034e-15	6.59939139488639e-13	4.344661758268e-13	GNA11/CHRM3/HTR2B/GNA15/SRD5A1/HTR2C/GNAQ/PTGER1/CHRM1/PRKACA/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	16
Biological Process	GO:0071870	(BP)cellular response to catecholamine stimulus	16/228	87/18870	6.74171652145034e-15	6.59939139488639e-13	4.344661758268e-13	GNA11/CHRM3/HTR2B/GNA15/SRD5A1/HTR2C/GNAQ/PTGER1/CHRM1/PRKACA/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	16
Biological Process	GO:0003044	(BP)regulation of systemic arterial blood pressure mediated by a chemical signal	13/228	47/18870	8.12123740476288e-15	7.73492989577957e-13	5.09223534568916e-13	AGTR1/F2RL1/AVPR1A/TACR1/ADRA1B/F2R/OXTR/EDN3/AGT/EDN2/EDNRB/EDN1/ADRA1A	13
Biological Process	GO:0010863	(BP)positive regulation of phospholipase C activity	12/228	37/18870	1.02791964784043e-14	9.53260220786757e-13	6.27571995523631e-13	HTR2B/PLCB2/GNA15/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	12
Biological Process	GO:0071867	(BP)response to monoamine	16/228	90/18870	1.18338367113165e-14	1.04256101426698e-12	6.86362529256358e-13	GNA11/CHRM3/HTR2B/GNA15/SRD5A1/HTR2C/GNAQ/PTGER1/CHRM1/PRKACA/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	16
Biological Process	GO:0071869	(BP)response to catecholamine	16/228	90/18870	1.18338367113165e-14	1.04256101426698e-12	6.86362529256358e-13	GNA11/CHRM3/HTR2B/GNA15/SRD5A1/HTR2C/GNAQ/PTGER1/CHRM1/PRKACA/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	16
Biological Process	GO:1901653	(BP)cellular response to peptide	28/228	374/18870	1.2775921941e-14	1.09810607122156e-12	7.22930217149269e-13	GNRHR/GCLC/GHSR/PIK3CA/TP53/AGTR1/SRD5A1/PIK3R1/APP/PRKCI/GRM5/PRKACA/EDNRA/FFAR3/PLCB1/GRB2/FPR2/GNRHR2/WDTC1/AGT/PRKCZ/EDN1/NFE2L2/GCGR/RELA/GCG/CPS1/CASR	28
Biological Process	GO:0010518	(BP)positive regulation of phospholipase activity	13/228	49/18870	1.48404199890246e-14	1.24518190574578e-12	8.19756532727072e-13	HTR2B/PLCB2/GNA15/AGTR1/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	13
Biological Process	GO:1900274	(BP)regulation of phospholipase C activity	12/228	39/18870	2.12442553676223e-14	1.74104083524421e-12	1.14620168495078e-12	HTR2B/PLCB2/GNA15/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	12
Biological Process	GO:0060191	(BP)regulation of lipase activity	15/228	78/18870	2.39539670162607e-14	1.91849499466597e-12	1.26302735176647e-12	RGS2/ANXA1/HTR2B/PLCB2/GNA15/AGTR1/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	15
Biological Process	GO:0042886	(BP)amide transport	27/228	354/18870	2.49722708477985e-14	1.95560627705871e-12	1.28745929704206e-12	GNA11/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/ABCB1/HTR2C/GRM1/F2RL2/F2RL1/AVPR1A/TRH/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/KISS1/NTSR1/TACR2/EDN1/AVP/GCG/CASR/GPR68	27
Biological Process	GO:0003073	(BP)regulation of systemic arterial blood pressure	16/228	95/18870	2.88455842479507e-14	2.2098225845604e-12	1.45482077076621e-12	AGTR1/PLCB3/F2RL1/AVPR1A/TACR1/ADRA1B/F2R/OXTR/EDN3/AGT/NTSR1/EDN2/EDNRB/EDN1/AVP/ADRA1A	16
Biological Process	GO:0043434	(BP)response to peptide hormone	29/228	430/18870	6.13330761249331e-14	4.5986757503035e-12	3.02750503425202e-12	OTC/GNRHR/GCLC/GHSR/ANXA1/PPARA/PIK3CA/AGTR1/SRD5A1/PIK3R1/PRKCI/PRKACA/EDNRA/OXTR/FFAR3/PLCB1/GRB2/GNRHR2/WDTC1/AGT/PTGS2/EDNRB/PRKCZ/EDN1/NFE2L2/GCGR/RELA/GCG/CPS1	29
Biological Process	GO:1901654	(BP)response to ketone	21/228	208/18870	9.48444787123278e-14	6.96316547879673e-12	4.58414980442917e-12	GHSR/PIK3CA/SRD5A1/AVPR1A/PTAFR/TACR1/P2RY6/NQO1/OXTR/GNG2/ACACA/HSD3B1/HSD3B2/PTGFR/GNB1/EDN1/MTAP/AVP/RELA/TBXA2R/CPS1	21
Biological Process	GO:0046887	(BP)positive regulation of hormone secretion	18/228	141/18870	1.00788450640439e-13	7.24854081748793e-12	4.77202460175142e-12	GNA11/FFAR2/FFAR1/CHRM3/GRP/F2RL2/TRH/TACR1/P2RY1/PRKACA/EDN3/PLCB1/KISS1/EDN1/NMB/GCG/CASR/GPR68	18
Biological Process	GO:0006816	(BP)calcium ion transport	29/228	445/18870	1.46586797650955e-13	1.03314374984393e-11	6.80162741100432e-12	BDKRB1/FFAR1/F2RL3/MCHR1/NMUR2/HTR2B/PLCB2/HTR2C/PLCB3/HCRT/NMUR1/PRKACA/P2RY6/XCR1/EDNRA/F2R/PLCB4/PLCB1/NPSR1/PTGS2/XCL1/NTSR1/CYSLTR1/EDNRB/HTR2A/EDN1/ADRA1A/GCG/CASR	29
Biological Process	GO:1903351	(BP)cellular response to dopamine	14/228	73/18870	1.86436160123449e-13	1.28823731034321e-11	8.48101748012554e-12	GNA11/CHRM3/HTR2B/GNA15/HTR2C/GNAQ/PTGER1/CHRM1/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	14
Biological Process	GO:0030072	(BP)peptide hormone secretion	22/228	241/18870	1.90530497592234e-13	1.29121052599045e-11	8.50059143103812e-12	GNA11/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/HTR2C/F2RL2/F2RL1/TRH/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/KISS1/TACR2/EDN1/GCG/CASR/GPR68	22
Biological Process	GO:1903350	(BP)response to dopamine	14/228	74/18870	2.27502305690685e-13	1.51267570802637e-11	9.9585914943847e-12	GNA11/CHRM3/HTR2B/GNA15/HTR2C/GNAQ/PTGER1/CHRM1/GNG2/GNA14/GNB1/HTR2A/CHRM5/HRH1	14
Biological Process	GO:0060193	(BP)positive regulation of lipase activity	13/228	60/18870	2.5974743424454e-13	1.69509251532918e-11	1.11595193971728e-11	HTR2B/PLCB2/GNA15/AGTR1/GNAQ/AVPR1A/NMUR1/P2RY6/EDNRA/LPAR1/HTR2A/ADRA1A/LPAR2	13
Biological Process	GO:0002790	(BP)peptide secretion	22/228	246/18870	2.89861104150305e-13	1.85721914731941e-11	1.22268683932492e-11	GNA11/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/HTR2C/F2RL2/F2RL1/TRH/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/KISS1/TACR2/EDN1/GCG/CASR/GPR68	22
Biological Process	GO:0001990	(BP)regulation of systemic arterial blood pressure by hormone	11/228	38/18870	5.68507630743131e-13	3.5775373048907e-11	2.35524589879297e-11	AGTR1/F2RL1/AVPR1A/TACR1/F2R/OXTR/EDN3/AGT/EDN2/EDNRB/EDN1	11
Biological Process	GO:0007193	(BP)adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	14/228	80/18870	7.05854267052707e-13	4.35246160496355e-11	2.86541172630972e-11	RGS2/MCHR1/CHRM3/GRM1/P2RY1/GRM5/CHRM1/EDNRA/FFAR3/FPR2/LPAR1/EDN1/CHRM5/CASR	14
Biological Process	GO:0043410	(BP)positive regulation of MAPK cascade	29/228	474/18870	7.16352931577429e-13	4.35246160496355e-11	2.86541172630972e-11	HTR2B/PROK1/HTR2C/GRM1/APP/F2RL1/P2RY1/GRM5/ADRA1B/P2RY6/F2R/EDN3/PLCB1/FPR2/HMGB1/LPAR1/NPSR1/KISS1/XCL1/XCL2/LPAR3/HCRTR1/PRKCZ/HTR2A/EDN1/ADRA1A/LPAR2/GCG/CASR	29
Biological Process	GO:0007189	(BP)adenylate cyclase-activating G protein-coupled receptor signaling pathway	18/228	158/18870	7.41030963676173e-13	4.42609002710989e-11	2.91388446733681e-11	GPR65/GNAQ/PTGIR/PTGER1/ADRA1B/PRKACA/GPR4/GNG2/LPAR1/LPAR3/PTGFR/GNB1/ADRA1D/ADRA1A/GCGR/LPAR2/GCG/TBXA2R	18
Biological Process	GO:0015833	(BP)peptide transport	22/228	262/18870	1.04025688091123e-12	6.10977541388527e-11	4.02232660619008e-11	GNA11/GHSR/FFAR2/FFAR1/CHRM3/GRP/ANXA1/HTR2C/F2RL2/F2RL1/TRH/PRKACA/FFAR3/EDN3/PLCB1/ACVR2B/KISS1/TACR2/EDN1/GCG/CASR/GPR68	22
Biological Process	GO:0007213	(BP)G protein-coupled acetylcholine receptor signaling pathway	9/228	21/18870	1.21441763906264e-12	7.01575042632254e-11	4.6187687256153e-11	GNA11/CHRM3/GNA15/GNAQ/CHRM1/ADRBK1/PLCB1/GNB1/CHRM5	9
Biological Process	GO:0043101	(BP)purine-containing compound salvage	8/228	15/18870	2.40376871056595e-12	1.36627111871523e-10	8.99474743308548e-11	AMPD2/HPRT1/PNP/ADA/APRT/MTAP/AMPD3/AMPD1	8
Biological Process	GO:0007187	(BP)G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	12/228	56/18870	2.53207969656855e-12	1.41635696042977e-10	9.32448396196672e-11	CHRM3/ANXA1/HTR2B/HTR2C/PTGIR/CHRM1/XCR1/AGT/LPAR3/HTR2A/CHRM5/HRH1	12
Biological Process	GO:1902074	(BP)response to salt	25/228	366/18870	2.81281020686872e-12	1.54880362015709e-10	1.01964369998991e-10	GNA11/GCLC/GHSR/CHRM3/CDH1/GNA15/PIK3CA/GNAQ/AVPR1A/TACR3/P2RY1/CHRM1/P2RY2/ADRBK1/EDNRA/OXTR/HSP90AA1/PLCB1/PTGS2/EDNRB/GNB1/HTR2A/EDN1/CHRM5/CASR	25
Biological Process	GO:0045777	(BP)positive regulation of blood pressure	10/228	33/18870	3.950859687227e-12	2.1419737750443e-10	1.4101529960564e-10	AVPR1A/TAC3/TACR3/TACR1/ADRA1B/OXTR/QRFP/AVP/ADRA1A/TBXA2R	10
Biological Process	GO:0071375	(BP)cellular response to peptide hormone stimulus	23/228	310/18870	4.0790076666291e-12	2.17794288139408e-10	1.43383299796659e-10	GNRHR/GCLC/GHSR/PIK3CA/AGTR1/SRD5A1/PIK3R1/PRKCI/PRKACA/EDNRA/FFAR3/PLCB1/GRB2/GNRHR2/WDTC1/AGT/PRKCZ/EDN1/NFE2L2/GCGR/RELA/GCG/CPS1	23
Biological Process	GO:0046579	(BP)positive regulation of Ras protein signal transduction	12/228	59/18870	4.91728925538264e-12	2.58634736357738e-10	1.70270314514742e-10	P2RY10/F2RL3/GPR65/GPR17/F2RL2/F2RL1/GPR4/F2R/LPAR6/LPAR1/LPAR4/LPAR2	12
Biological Process	GO:0050886	(BP)endocrine process	14/228	92/18870	5.18943255251796e-12	2.68934710515783e-10	1.77051228262377e-10	GNRHR/AGTR1/F2RL1/AVPR1A/TACR1/F2R/OXTR/EDN3/AGT/KISS1/EDN2/TACR2/EDNRB/EDN1	14
Biological Process	GO:0051209	(BP)release of sequestered calcium ion into cytosol	16/228	136/18870	8.82975457244854e-12	4.50957320482734e-10	2.96884501566386e-10	BDKRB1/F2RL3/HTR2B/PLCB2/HTR2C/PLCB3/PRKACA/P2RY6/XCR1/F2R/PLCB4/PLCB1/NPSR1/XCL1/NTSR1/HTR2A	16
Biological Process	GO:0051283	(BP)negative regulation of sequestering of calcium ion	16/228	137/18870	9.89139725966742e-12	4.97961199186685e-10	3.27829166320406e-10	BDKRB1/F2RL3/HTR2B/PLCB2/HTR2C/PLCB3/PRKACA/P2RY6/XCR1/F2R/PLCB4/PLCB1/NPSR1/XCL1/NTSR1/HTR2A	16
