Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Biological Process	GO:0033013	(BP)tetrapyrrole metabolic process	12/52	62/18870	9.53118938256165e-20	1.78406535806313e-17	1.01696422598624e-17	HMOX1/HMOX2/SLCO1B1/BLVRB/CPOX/BLVRA/UGT1A1/CYP1A2/ABCC2/UGT1A4/CYP1A1/SLC46A1	12
Biological Process	GO:0006787	(BP)porphyrin-containing compound catabolic process	8/52	13/18870	2.40762803903211e-18	3.81331240951317e-16	2.17368847248648e-16	HMOX1/HMOX2/SLCO1B1/BLVRB/BLVRA/UGT1A1/ABCC2/UGT1A4	8
Biological Process	GO:0033015	(BP)tetrapyrrole catabolic process	8/52	13/18870	2.40762803903211e-18	3.81331240951317e-16	2.17368847248648e-16	HMOX1/HMOX2/SLCO1B1/BLVRB/BLVRA/UGT1A1/ABCC2/UGT1A4	8
Biological Process	GO:0042167	(BP)heme catabolic process	7/52	11/18870	2.59298769914744e-16	3.55930778169639e-14	2.02889914705221e-14	HMOX1/HMOX2/SLCO1B1/BLVRB/BLVRA/ABCC2/UGT1A4	7
Biological Process	GO:0046149	(BP)pigment catabolic process	7/52	11/18870	2.59298769914744e-16	3.55930778169639e-14	2.02889914705221e-14	HMOX1/HMOX2/SLCO1B1/BLVRB/BLVRA/ABCC2/UGT1A4	7
Biological Process	GO:0009812	(BP)flavonoid metabolic process	7/52	13/18870	1.34272996782358e-15	1.72792562734297e-13	9.84963101396903e-14	UGT1A1/UGT1A10/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	7
Biological Process	GO:0042445	(BP)hormone metabolic process	14/52	241/18870	2.41899944150344e-15	2.92983520591505e-13	1.67008320574386e-13	UGT2A3/UGT2B10/UGT2B7/UGT1A1/UGT2B4/UGT2B17/UGT2B15/CYP1A2/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT2B11/UGT1A3	14
Biological Process	GO:0042168	(BP)heme metabolic process	9/52	46/18870	4.50227409281918e-15	5.15010130950816e-13	2.9356933412242e-13	HMOX1/HMOX2/SLCO1B1/BLVRB/CPOX/BLVRA/ABCC2/UGT1A4/SLC46A1	9
Biological Process	GO:0015718	(BP)monocarboxylic acid transport	10/52	179/18870	5.13756604372196e-11	5.56749920211764e-09	3.17362112950138e-09	GOT2/SLCO1B1/PPARA/IL1A/ABCB11/NOS2/ABCC2/EDN1/TNF/UGT1A3	10
Biological Process	GO:0042573	(BP)retinoic acid metabolic process	6/52	33/18870	3.40116351901676e-10	3.50149784282775e-08	1.99594595984405e-08	UGT1A1/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	6
Biological Process	GO:0015711	(BP)organic anion transport	12/52	443/18870	2.13155999243204e-09	2.08994382115122e-07	1.19132300328908e-07	GOT2/SLC35A2/SLCO1B1/PPARA/IL1A/ABCB11/NOS2/ABCC2/EDN1/SLC46A1/TNF/UGT1A3	12
Biological Process	GO:0046942	(BP)carboxylic acid transport	11/52	351/18870	2.41093414785627e-09	2.22344110165891e-07	1.26741996797101e-07	GOT2/SLCO1B1/PPARA/IL1A/ABCB11/NOS2/ABCC2/EDN1/SLC46A1/TNF/UGT1A3	11
Biological Process	GO:0015849	(BP)organic acid transport	11/52	352/18870	2.48368845741403e-09	2.22344110165891e-07	1.26741996797101e-07	GOT2/SLCO1B1/PPARA/IL1A/ABCB11/NOS2/ABCC2/EDN1/SLC46A1/TNF/UGT1A3	11
Biological Process	GO:0001523	(BP)retinoid metabolic process	7/52	84/18870	3.05520536592846e-09	2.62111160351946e-07	1.49410262412729e-07	UGT1A1/CYP1A2/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	7
Biological Process	GO:0016101	(BP)diterpenoid metabolic process	7/52	87/18870	3.91687782336574e-09	3.22594057532403e-07	1.83887106233802e-07	UGT1A1/CYP1A2/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	7
Biological Process	GO:0001889	(BP)liver development	8/52	142/18870	4.79903267023131e-09	3.80046471846395e-07	2.16636495032709e-07	IL6/UGT1A1/UGT1A10/UGT1A9/UGT1A7/UGT1A8/CYP1A1/TNF	8
Biological Process	GO:0035094	(BP)response to nicotine	6/52	51/18870	5.3259861418901e-09	4.06155758005619e-07	2.31519475563644e-07	MAPK1/HMOX1/PPARA/CHRNA4/EDN1/TNF	6
Biological Process	GO:0061008	(BP)hepaticobiliary system development	8/52	145/18870	5.66128395803112e-09	4.16306559628074e-07	2.37305699744538e-07	IL6/UGT1A1/UGT1A10/UGT1A9/UGT1A7/UGT1A8/CYP1A1/TNF	8
Biological Process	GO:0001666	(BP)response to hypoxia	10/52	298/18870	7.30780770046342e-09	5.07630979701089e-07	2.89363023627573e-07	HMOX1/HMOX2/PPARA/IL1A/NOS2/MB/CHRNA4/EDN1/CYP1A1/TNF	10
Biological Process	GO:0031667	(BP)response to nutrient levels	12/52	495/18870	7.39627459496487e-09	5.07630979701089e-07	2.89363023627573e-07	MAPK1/EIF2S1/PPARA/MAPK3/IL1A/ALB/UGT1A1/EIF2AK3/RUNX2/CYP1A1/KL/TNF	12
Biological Process	GO:0006721	(BP)terpenoid metabolic process	7/52	98/18870	9.0624299232442e-09	6.01920748772897e-07	3.4311067451332e-07	UGT1A1/CYP1A2/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	7
Biological Process	GO:0090594	(BP)inflammatory response to wounding	5/52	28/18870	1.22196880314551e-08	7.73370305150443e-07	4.40841435670225e-07	HMOX1/IL6/IL1A/TLR4/TNF	5
Biological Process	GO:0036293	(BP)response to decreased oxygen levels	10/52	315/18870	1.23949587518041e-08	7.73370305150443e-07	4.40841435670225e-07	HMOX1/HMOX2/PPARA/IL1A/NOS2/MB/CHRNA4/EDN1/CYP1A1/TNF	10
Biological Process	GO:0048732	(BP)gland development	11/52	443/18870	2.67840766015132e-08	1.62201216830928e-06	9.24589641197746e-07	MAPK1/IL6/MAPK3/UGT1A1/UGT1A10/UGT1A9/UGT1A7/UGT1A8/EDN1/CYP1A1/TNF	11
Biological Process	GO:0070482	(BP)response to oxygen levels	10/52	343/18870	2.77561573789775e-08	1.63285508695185e-06	9.30770390302554e-07	HMOX1/HMOX2/PPARA/IL1A/NOS2/MB/CHRNA4/EDN1/CYP1A1/TNF	10
Biological Process	GO:0032496	(BP)response to lipopolysaccharide	10/52	348/18870	3.18125480016534e-08	1.81950100931679e-06	1.03716348017086e-06	MAPK1/IL6/MAPK3/IL1A/UGT1A1/NOS2/TLR4/EDN1/CYP1A1/TNF	10
Biological Process	GO:0002237	(BP)response to molecule of bacterial origin	10/52	369/18870	5.51623305432777e-08	3.06970915104348e-06	1.74981503714807e-06	MAPK1/IL6/MAPK3/IL1A/UGT1A1/NOS2/TLR4/EDN1/CYP1A1/TNF	10
Biological Process	GO:0071248	(BP)cellular response to metal ion	8/52	200/18870	6.98607847673161e-08	3.78535146936589e-06	2.15775000043095e-06	MAPK1/HMOX1/EIF2S1/MAPK3/EIF2AK3/CYP1A2/EDN1/CYP1A1	8
Biological Process	GO:0006720	(BP)isoprenoid metabolic process	7/52	133/18870	7.57337875316167e-08	3.99835560327176e-06	2.27916796485162e-06	UGT1A1/CYP1A2/UGT1A9/UGT1A7/UGT1A8/CYP1A1/UGT1A3	7
Biological Process	GO:0006979	(BP)response to oxidative stress	10/52	400/18870	1.17099490784365e-07	6.02769628812516e-06	3.43594558485701e-06	MAPK1/HMOX1/HMOX2/EIF2S1/IL6/MAPK3/IL1A/ABCB11/CHRNA4/EDN1	10
Biological Process	GO:0071241	(BP)cellular response to inorganic substance	8/52	229/18870	1.97837664574535e-07	9.93531100875531e-06	5.6633888575252e-06	MAPK1/HMOX1/EIF2S1/MAPK3/EIF2AK3/CYP1A2/EDN1/CYP1A1	8
Biological Process	GO:0042359	(BP)vitamin D metabolic process	4/52	20/18870	2.40397737353819e-07	0.0000117852128859884	6.71788163281975e-06	UGT1A4/CYP1A1/TNF/UGT1A3	4
Biological Process	GO:0048661	(BP)positive regulation of smooth muscle cell proliferation	6/52	98/18870	2.82134575033648e-07	0.000013509653255681	7.70085804559407e-06	HMOX1/IL6/IL18/TLR4/EDN1/TNF	6
Biological Process	GO:0019748	(BP)secondary metabolic process	5/52	57/18870	4.90171169612421e-07	0.0000229377826870903	0.0000130751400506663	CYP2A6/CYP1A2/UGT1A7/UGT1A8/CYP1A1	5
Biological Process	GO:0010038	(BP)response to metal ion	9/52	359/18870	5.28344151771396e-07	0.000024174680188829	0.0000137802041924002	MAPK1/HMOX1/EIF2S1/MAPK3/IL1A/EIF2AK3/CYP1A2/EDN1/CYP1A1	9
Biological Process	GO:0071216	(BP)cellular response to biotic stimulus	8/52	265/18870	6.00268676252664e-07	0.0000268685479218312	0.0000153157797258975	MAPK1/IL6/MAPK3/IL1A/EIF2AK3/NOS2/TLR4/TNF	8
Biological Process	GO:0042178	(BP)xenobiotic catabolic process	4/52	25/18870	6.213067544903e-07	0.0000272185235637346	0.0000155152750561407	CYP2A6/UGT1A1/CYP1A2/CYP1A1	4
Biological Process	GO:0015908	(BP)fatty acid transport	6/52	116/18870	7.65903447315093e-07	0.0000328540666254537	0.0000187276829771125	GOT2/SLCO1B1/PPARA/IL1A/NOS2/EDN1	6
Biological Process	GO:0071715	(BP)icosanoid transport	5/52	63/18870	8.126559489222e-07	0.0000341481346700165	0.0000194653358334748	SLCO1B1/IL1A/NOS2/ABCC2/EDN1	5
Biological Process	GO:0015732	(BP)prostaglandin transport	4/52	28/18870	9.99510309191311e-07	0.0000411598345324982	0.0000234621893631224	SLCO1B1/IL1A/NOS2/EDN1	4
Biological Process	GO:0032722	(BP)positive regulation of chemokine production	5/52	72/18870	1.5877147623866e-06	0.0000641000920736082	0.0000365387401457392	HMOX1/IL6/IL18/TLR4/TNF	5
Biological Process	GO:0042594	(BP)response to starvation	7/52	218/18870	2.14626776518746e-06	0.0000849839486254034	0.0000484430882223485	MAPK1/EIF2S1/PPARA/MAPK3/ALB/UGT1A1/EIF2AK3	7
Biological Process	GO:0032890	(BP)regulation of organic acid transport	5/52	77/18870	2.21889882038901e-06	0.0000862021258713391	0.0000491374813253972	PPARA/IL1A/ABCB11/EDN1/TNF	5
Biological Process	GO:0071222	(BP)cellular response to lipopolysaccharide	7/52	226/18870	2.7257063965259e-06	0.000103930175378645	0.0000592429362987597	MAPK1/IL6/MAPK3/IL1A/NOS2/TLR4/TNF	7
Biological Process	GO:0002534	(BP)cytokine production involved in inflammatory response	5/52	81/18870	2.8536350323769e-06	0.000104922045208287	0.0000598083282161701	IL6/PPARA/NOS2/TLR4/TNF	5
Biological Process	GO:1900015	(BP)regulation of cytokine production involved in inflammatory response	5/52	81/18870	2.8536350323769e-06	0.000104922045208287	0.0000598083282161701	IL6/PPARA/NOS2/TLR4/TNF	5
Biological Process	GO:0002685	(BP)regulation of leukocyte migration	7/52	230/18870	3.06119236328255e-06	0.000110578860982435	0.0000630328621433065	MAPK1/HMOX1/IL6/MAPK3/IL1A/EDN1/TNF	7
Biological Process	GO:0071276	(BP)cellular response to cadmium ion	4/52	37/18870	3.16554711551517e-06	0.000112376922600789	0.00006405780460616	MAPK1/HMOX1/MAPK3/CYP1A2	4
Biological Process	GO:0002687	(BP)positive regulation of leukocyte migration	6/52	149/18870	3.30636778913801e-06	0.000115386631827715	0.0000657734181068489	MAPK1/IL6/MAPK3/IL1A/EDN1/TNF	6
Biological Process	GO:0072593	(BP)reactive oxygen species metabolic process	7/52	234/18870	3.43050220107197e-06	0.000117723400533453	0.000067105437792899	PPARA/NOS2/CYP1A2/TLR4/EDN1/CYP1A1/TNF	7
Biological Process	GO:0071219	(BP)cellular response to molecule of bacterial origin	7/52	239/18870	3.9437797264184e-06	0.000133118728798287	0.0000758811802408372	MAPK1/IL6/MAPK3/IL1A/NOS2/TLR4/TNF	7
Biological Process	GO:0048708	(BP)astrocyte differentiation	5/52	87/18870	4.06439548637496e-06	0.000134977263007194	0.0000769405936724633	MAPK1/IL6/MAPK3/TLR4/TNF	5
Biological Process	GO:0032782	(BP)bile acid secretion	3/52	12/18870	4.26679093854153e-06	0.000139449564165984	0.0000794899230822691	ABCB11/TNF/UGT1A3	3
Biological Process	GO:0070665	(BP)positive regulation of leukocyte proliferation	6/52	166/18870	6.16619117535394e-06	0.00019837793171959	0.000113080644087494	MAPK1/IL6/MAPK3/IL1A/IL18/TLR4	6
Biological Process	GO:0006775	(BP)fat-soluble vitamin metabolic process	4/52	45/18870	7.02606880785717e-06	0.00022256424115966	0.000126867477259283	UGT1A4/CYP1A1/TNF/UGT1A3	4
Biological Process	GO:0048660	(BP)regulation of smooth muscle cell proliferation	6/52	171/18870	7.31095580086914e-06	0.0002280796665756	0.000130011414959635	HMOX1/IL6/IL18/TLR4/EDN1/TNF	6
Biological Process	GO:0048659	(BP)smooth muscle cell proliferation	6/52	175/18870	8.34603608217519e-06	0.000256262345916082	0.000146076284193365	HMOX1/IL6/IL18/TLR4/EDN1/TNF	6
Biological Process	GO:0032755	(BP)positive regulation of interleukin-6 production	5/52	101/18870	8.46325377479046e-06	0.000256262345916082	0.000146076284193365	IL6/IL1A/NOS2/TLR4/TNF	5
Biological Process	GO:0061307	(BP)cardiac neural crest cell differentiation involved in heart development	3/52	15/18870	8.77307878758757e-06	0.00025805384605204	0.000147097486438498	MAPK1/MAPK3/EDN1	3
Biological Process	GO:0061308	(BP)cardiac neural crest cell development involved in heart development	3/52	15/18870	8.77307878758757e-06	0.00025805384605204	0.000147097486438498	MAPK1/MAPK3/EDN1	3
Biological Process	GO:0006953	(BP)acute-phase response	4/52	48/18870	9.11987696974357e-06	0.000260803148343084	0.000148664661129592	IL6/IL1A/UGT1A1/TNF	4
Biological Process	GO:0045776	(BP)negative regulation of blood pressure	4/52	48/18870	9.11987696974357e-06	0.000260803148343084	0.000148664661129592	PPARA/NOS2/KL/TNF	4
Biological Process	GO:0009267	(BP)cellular response to starvation	6/52	179/18870	9.49695679811867e-06	0.000267866219826388	0.00015269079783565	MAPK1/EIF2S1/PPARA/MAPK3/ALB/EIF2AK3	6
Biological Process	GO:0019218	(BP)regulation of steroid metabolic process	5/52	104/18870	9.7649815855706e-06	0.000268081294462532	0.000152813396040859	IL1A/ABCB11/UGT1A1/UGT1A8/TNF	5
Biological Process	GO:0032642	(BP)regulation of chemokine production	5/52	104/18870	9.7649815855706e-06	0.000268081294462532	0.000152813396040859	HMOX1/IL6/IL18/TLR4/TNF	5
Biological Process	GO:0032602	(BP)chemokine production	5/52	105/18870	0.0000102319765772174	0.000277205786480139	0.000158014596725725	HMOX1/IL6/IL18/TLR4/TNF	5
Biological Process	GO:0002532	(BP)production of molecular mediator involved in inflammatory response	5/52	106/18870	0.0000107162504316032	0.00028655531998274	0.000163344076982058	IL6/PPARA/NOS2/TLR4/TNF	5
Biological Process	GO:0034198	(BP)cellular response to amino acid starvation	4/52	51/18870	0.0000116414601744269	0.000307304698706988	0.000175171769156357	MAPK1/EIF2S1/MAPK3/EIF2AK3	4
Biological Process	GO:0006766	(BP)vitamin metabolic process	5/52	109/18870	0.0000122772958549359	0.000319986736269786	0.000182400864467069	UGT1A4/CYP1A1/SLC46A1/TNF/UGT1A3	5
Biological Process	GO:0032310	(BP)prostaglandin secretion	3/52	17/18870	0.0000130604423811834	0.000336143135785708	0.000191610437566046	IL1A/NOS2/EDN1	3
Biological Process	GO:1904035	(BP)regulation of epithelial cell apoptotic process	5/52	113/18870	0.0000146287698553882	0.00036767691865754	0.000209585524042411	HMOX1/EIF2S1/IL6/PPARA/TNF	5
Biological Process	GO:1990928	(BP)response to amino acid starvation	4/52	54/18870	0.0000146427913209899	0.00036767691865754	0.000209585524042411	MAPK1/EIF2S1/MAPK3/EIF2AK3	4
Biological Process	GO:0019373	(BP)epoxygenase P450 pathway	3/52	18/18870	0.00001564204090878	0.000383416217037834	0.000218557338512403	CYP2A6/CYP1A2/CYP1A1	3
Biological Process	GO:0150078	(BP)positive regulation of neuroinflammatory response	3/52	18/18870	0.00001564204090878	0.000383416217037834	0.000218557338512403	IL6/IL18/TNF	3
Biological Process	GO:1903409	(BP)reactive oxygen species biosynthetic process	4/52	58/18870	0.0000194850944509937	0.00047199775852466	0.000269051149385239	PPARA/CYP1A2/TLR4/CYP1A1	4
Biological Process	GO:0045471	(BP)response to ethanol	5/52	121/18870	0.0000203771156328099	0.000485517302814511	0.000276757645580726	GOT2/PPARA/ABCB11/UGT1A1/TNF	5
Biological Process	GO:0000302	(BP)response to reactive oxygen species	6/52	205/18870	0.0000205148156118807	0.000485517302814511	0.000276757645580726	MAPK1/HMOX1/IL6/MAPK3/IL1A/EDN1	6
Biological Process	GO:0046686	(BP)response to cadmium ion	4/52	59/18870	0.0000208597447741648	0.000488070619204605	0.00027821310314825	MAPK1/HMOX1/MAPK3/CYP1A2	4
Biological Process	GO:0062197	(BP)cellular response to chemical stress	7/52	317/18870	0.0000247215660458926	0.000571929263915649	0.000326014738511771	MAPK1/HMOX1/EIF2S1/IL6/MAPK3/EIF2AK3/EDN1	7
Biological Process	GO:0051384	(BP)response to glucocorticoid	5/52	127/18870	0.0000257375432661611	0.000588817795389175	0.000335641646102569	IL6/UGT1A1/GOT1/EDN1/TNF	5
Biological Process	GO:0010573	(BP)vascular endothelial growth factor production	4/52	63/18870	0.0000270799854174145	0.000606061847548439	0.00034547120984459	IL6/IL1A/EIF2AK3/TNF	4
Biological Process	GO:0032757	(BP)positive regulation of interleukin-8 production	4/52	63/18870	0.0000270799854174145	0.000606061847548439	0.00034547120984459	IL6/NOS2/TLR4/TNF	4
Biological Process	GO:0010888	(BP)negative regulation of lipid storage	3/52	22/18870	0.0000292915172797828	0.000648507893323363	0.000369666573479998	IL6/PPARA/TNF	3
Biological Process	GO:0006869	(BP)lipid transport	8/52	453/18870	0.0000308927634572518	0.000676682978281717	0.000385727113715966	GOT2/SLCO1B1/PPARA/IL1A/ABCB11/NOS2/ABCC2/EDN1	8
Biological Process	GO:0048545	(BP)response to steroid hormone	7/52	330/18870	0.0000319571578464772	0.000692629347430491	0.000394816963975868	MAPK1/IL6/PPARA/UGT1A1/GOT1/EDN1/TNF	7
Biological Process	GO:1901224	(BP)positive regulation of non-canonical NF-kappaB signal transduction	4/52	69/18870	0.0000388254511059739	0.000832725039866669	0.000474675197183782	IL18/TLR4/EDN1/TNF	4
Biological Process	GO:0035270	(BP)endocrine system development	5/52	139/18870	0.0000397040169518563	0.000842789390761568	0.000480412142173845	MAPK1/IL6/MAPK3/EIF2AK3/EDN1	5
Biological Process	GO:0071496	(BP)cellular response to external stimulus	7/52	346/18870	0.00004317423515192	0.000907099491610239	0.0005170705928506	MAPK1/EIF2S1/PPARA/MAPK3/ALB/EIF2AK3/TLR4	7
Biological Process	GO:0014823	(BP)response to activity	4/52	72/18870	0.000045923037553357	0.000955106407296587	0.000544435798745275	IL6/EDN1/KL/TNF	4
Biological Process	GO:1904019	(BP)epithelial cell apoptotic process	5/52	144/18870	0.0000470087210067347	0.000967909565528667	0.000551733936026412	HMOX1/EIF2S1/IL6/PPARA/TNF	5
Biological Process	GO:0006809	(BP)nitric oxide biosynthetic process	4/52	73/18870	0.0000484866383753093	0.000988455330839225	0.000563445563194057	NOS2/TLR4/EDN1/TNF	4
Biological Process	GO:0009065	(BP)glutamine family amino acid catabolic process	3/52	27/18870	0.0000550961281928016	0.00110572527555743	0.000630292519233419	GOT2/NOS2/GOT1	3
Biological Process	GO:0031960	(BP)response to corticosteroid	5/52	149/18870	0.0000553131148044754	0.00110572527555743	0.000630292519233419	IL6/UGT1A1/GOT1/EDN1/TNF	5
Biological Process	GO:0033002	(BP)muscle cell proliferation	6/52	247/18870	0.0000582176108665505	0.00115259673821373	0.000657010487006112	HMOX1/IL6/IL18/TLR4/EDN1/TNF	6
Biological Process	GO:0001819	(BP)positive regulation of cytokine production	8/52	499/18870	0.0000611705682019718	0.00119952571359867	0.000683761238548357	HMOX1/IL6/IL1A/IL18/EIF2AK3/NOS2/TLR4/TNF	8
Biological Process	GO:0046209	(BP)nitric oxide metabolic process	4/52	78/18870	0.0000629012970927215	0.00122182802560296	0.000696474143578793	NOS2/TLR4/EDN1/TNF	4
Biological Process	GO:0031669	(BP)cellular response to nutrient levels	6/52	251/18870	0.0000636366107863602	0.00122455870662725	0.000698030703657566	MAPK1/EIF2S1/PPARA/MAPK3/ALB/EIF2AK3	6
Biological Process	GO:2001057	(BP)reactive nitrogen species metabolic process	4/52	79/18870	0.0000661216017165843	0.00126047366499724	0.000718503175517969	NOS2/TLR4/EDN1/TNF	4
Biological Process	GO:0007584	(BP)response to nutrient	5/52	155/18870	0.0000667273576904805	0.00126047366499724	0.000718503175517969	IL1A/UGT1A1/RUNX2/CYP1A1/KL	5
Biological Process	GO:0015721	(BP)bile acid and bile salt transport	3/52	29/18870	0.0000685604894099837	0.0012833277063196	0.00073153058078595	SLCO1B1/ABCB11/ABCC2	3
Biological Process	GO:0034599	(BP)cellular response to oxidative stress	6/52	255/18870	0.0000694519457659795	0.00128830230929866	0.000734366235458199	MAPK1/HMOX1/EIF2S1/IL6/MAPK3/EDN1	6
Biological Process	GO:2001236	(BP)regulation of extrinsic apoptotic signaling pathway	5/52	158/18870	0.0000730755912755347	0.00134341645032434	0.000765782746919373	HMOX1/IL1A/TLR4/TNF/GDNF	5
Biological Process	GO:0010575	(BP)positive regulation of vascular endothelial growth factor production	3/52	30/18870	0.0000760302803215099	0.00136976434263984	0.000780801739241545	IL6/IL1A/EIF2AK3	3
Biological Process	GO:0014032	(BP)neural crest cell development	4/52	82/18870	0.0000765045650333083	0.00136976434263984	0.000780801739241545	MAPK1/MAPK3/EDN1/GDNF	4
Biological Process	GO:0051341	(BP)regulation of oxidoreductase activity	4/52	82/18870	0.0000765045650333083	0.00136976434263984	0.000780801739241545	IL1A/EDN1/TNF/GDNF	4
Biological Process	GO:0030878	(BP)thyroid gland development	3/52	31/18870	0.0000840128122265654	0.00146595237605507	0.000835631450781627	MAPK1/MAPK3/EDN1	3
Biological Process	GO:1900017	(BP)positive regulation of cytokine production involved in inflammatory response	3/52	31/18870	0.0000840128122265654	0.00146595237605507	0.000835631450781627	IL6/TLR4/TNF	3
Biological Process	GO:2000191	(BP)regulation of fatty acid transport	3/52	31/18870	0.0000840128122265654	0.00146595237605507	0.000835631450781627	PPARA/IL1A/EDN1	3
Biological Process	GO:0070663	(BP)regulation of leukocyte proliferation	6/52	267/18870	0.0000894895450268818	0.00154839473286008	0.000882625764749873	MAPK1/IL6/MAPK3/IL1A/IL18/TLR4	6
Biological Process	GO:0033273	(BP)response to vitamin	4/52	86/18870	0.0000921337560042876	0.00158086169677357	0.000901132788989304	IL1A/RUNX2/CYP1A1/KL	4
Biological Process	GO:0048864	(BP)stem cell development	4/52	88/18870	0.000100762717738079	0.00170086434622873	0.000969537458676942	MAPK1/MAPK3/EDN1/GDNF	4
Biological Process	GO:0050900	(BP)leukocyte migration	7/52	396/18870	0.000100779723283101	0.00170086434622873	0.000969537458676942	MAPK1/HMOX1/IL6/MAPK3/IL1A/EDN1/TNF	7
Biological Process	GO:0006631	(BP)fatty acid metabolic process	7/52	401/18870	0.000108956118576626	0.00182390770853067	0.00103967541474487	PPARA/ABCB11/CYP2A6/CYP1A2/UGT1A8/EDN1/CYP1A1	7
Biological Process	GO:0031668	(BP)cellular response to extracellular stimulus	6/52	281/18870	0.000118428178610717	0.00196648080451182	0.00112094583319991	MAPK1/EIF2S1/PPARA/MAPK3/ALB/EIF2AK3	6
Biological Process	GO:1901099	(BP)negative regulation of signal transduction in absence of ligand	3/52	35/18870	0.000121380050225067	0.0019835041540747	0.0011306495906512	IL1A/TNF/GDNF	3
Biological Process	GO:2001240	(BP)negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	3/52	35/18870	0.000121380050225067	0.0019835041540747	0.0011306495906512	IL1A/TNF/GDNF	3
