metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
C16:0 ceramide (d18:1)	0	0	NA	NA	NA	0	0	NA	NA	NA	36	0	NA	NA	NA
C16:1 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C16:1 CE*	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C16:1 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
C18:0 LPC	0	0	NA	NA	NA	0	0	NA	NA	NA	285	11	2.67177814118936e-07	6.14508972473553e-07	XBP1/PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF
C18:0 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
C18:0e MAG	0	0	NA	NA	NA	0	0	NA	NA	NA	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
C18:1 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C18:1 LPC	0	0	NA	NA	NA	0	0	NA	NA	NA	151	12	2.00039020455554e-11	9.20179494095547e-11	IFNG/SELL/IL6/TLR2/FGA/F2/MMP1/VEGFA/TLR4/TNF/CHRNA7/IL10
C18:2 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C18:2 CE*	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C18:3 CE*	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C18:3 LPC	0	0	NA	NA	NA	0	0	NA	NA	NA	285	11	2.67177814118936e-07	6.14508972473553e-07	XBP1/PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF
C20:4 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C20:4 carnitine	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
C22:0 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
C22:4 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C22:4 CE*	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C22:5 CE*	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C24:0 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
C24:1 SM	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA
C36:5 PC plasmalogen-A	0	0	NA	NA	NA	0	0	NA	NA	NA	36	0	NA	NA	NA
L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
N-acetylglutamic acid	22	0	NA	NA	NA	9	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
N-acetylputrescine	0	0	NA	NA	NA	7	0	NA	NA	NA	1070	22	2.35939082619666e-08	7.23546520033644e-08	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
N-oleoylethanolamine	0	0	NA	NA	NA	39	0	NA	NA	NA	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
adrenic acid	0	0	NA	NA	NA	453	13	6.23372978092428e-07	1.48051082296952e-06	PON1/CRP/IL6/IL1RN/STAT3/ICAM1/UGT1A1/ADIPOQ/APOA4/PTGS2/VEGFA/TNF/GC	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
alpha-muricholate	0	0	NA	NA	NA	265	12	1.27630871892005e-08	6.74763264826149e-08	PON1/IL6/STAT3/ABCB1/CCL5/VIPR1/NR1I2/PTGS2/CDX2/TNF/GPX1/IL10	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
arachidonic acid	358	26	9.65382158485156e-23	6.75767510939609e-22	PON1/IFNG/IL4/ALOX12/CRP/TLR2/STAT3/ICAM1/FGF7/IL18/CXCL8/F2/MMP1/APOA4/PTGS2/FCGR3A/TLR4/IL6/ADIPOQ/TNF/IL10/SERPINA1/GC/CCL5/IL17A/FGA	277	10	1.75425799894945e-06	3.33309019800395e-06	PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF	285	11	2.67177814118936e-07	6.14508972473553e-07	XBP1/PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF
azelaic acid	0	0	NA	NA	NA	259	5	0.0111195580330879	0.0124277413310982	TLR2/IL8/PTGS2/TLR4/PGF	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
azelate	0	0	NA	NA	NA	259	5	0.0111195580330879	0.0124277413310982	TLR2/IL8/PTGS2/TLR4/PGF	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
beta-alanine	620	10	0.00139820944120231	0.00163124434806936	PON1/CRP/IL13/CXCL8/F2/IL6/HLA-DPA1/HFE/TNFRSF9/IL17A	33	0	NA	NA	NA	1070	22	2.35939082619666e-08	7.23546520033644e-08	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
caproic acid	338	8	0.000371854590036929	0.0005205964260517	TNFRSF1A/KDR/STAT3/FGF7/MST1R/IL3RA/JAK2/SERPINA1	165	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
chenodeoxycholate	0	0	NA	NA	NA	270	12	1.57090660053617e-08	6.74763264826149e-08	PON1/IL6/STAT3/ABCB1/CCL5/VIPR1/NR1I2/PTGS2/CDX2/TNF/GPX1/IL10	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
cholate	529	5	0.138827998102251	0.138827998102251	ALOX12/UGT1A1/NR1I2/PTGS2/CDX2	270	12	1.57090660053617e-08	6.74763264826149e-08	PON1/IL6/STAT3/ABCB1/CCL5/VIPR1/NR1I2/PTGS2/CDX2/TNF/GPX1/IL10	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
cholestenone	70	0	NA	NA	NA	276	15	1.29881592547324e-11	2.46775025839915e-10	IL4/CRP/IL6/IL1RN/KDR/STAT3/MMP3/IL8/NR1I2/ESR2/PTGS2/BGLAP/VEGFA/TNF/IL10	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
creatine	13	0	NA	NA	NA	10	0	NA	NA	NA	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
docosahexaenoic acid	287	18	8.20324690862952e-15	2.87113641802033e-14	IFNG/IL4/ALOX12/TLR2/STAT3/ICAM1/IL18/CXCL8/MMP1/NR1I2/PTGS2/BGLAP/TLR4/IL6/ADIPOQ/TNF/IL10/CCL5	270	10	1.39340807704927e-06	2.94163927377068e-06	PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF	285	11	2.67177814118936e-07	6.14508972473553e-07	XBP1/PON1/IFNG/ALOX12/IL6/KDR/UGT1A1/IL8/PTGS2/TNF/PGF
docosapentaenoate	0	0	NA	NA	NA	0	0	NA	NA	NA	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
docosapentaenoic acid	0	0	NA	NA	NA	453	13	6.23372978092428e-07	1.48051082296952e-06	PON1/CRP/IL6/IL1RN/STAT3/ICAM1/UGT1A1/ADIPOQ/APOA4/PTGS2/VEGFA/TNF/GC	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
eicosatrienoic acid	0	0	NA	NA	NA	453	13	6.23372978092428e-07	1.48051082296952e-06	PON1/CRP/IL6/IL1RN/STAT3/ICAM1/UGT1A1/ADIPOQ/APOA4/PTGS2/VEGFA/TNF/GC	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
erythronic acid	0	0	NA	NA	NA	96	2	0.0881390305256414	0.0881390305256414	IL6/PRF1	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
hydrocinnamic acid	349	15	3.49969581204705e-10	8.16595689477645e-10	PON1/IFNG/CRP/BPI/ICAM1/CXCL8/FCGR3A/MKI67/S100A12/TLR4/ITGB2/IL6/TNF/IL10/SERPINA1	53	3	0.0026000454312687	0.00352863308529323	PON1/PON3/TLR4	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
ketodeoxycholate	0	0	NA	NA	NA	0	0	NA	NA	NA	175	4	0.0129400334416821	0.0175071040681581	VIPR1/PTGS2/CDX2/IL10
linoleoyl ethanolamide	0	0	NA	NA	NA	39	0	NA	NA	NA	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
maslinic acid	0	0	NA	NA	NA	50	4	0.000128997875794881	0.000204246636675228	ICAM1/ABCB1/PLAUR/PTGS2	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
p-hydroxyphenylacetate	0	0	NA	NA	NA	20	0	NA	NA	NA	1070	22	2.35939082619666e-08	7.23546520033644e-08	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
palmitoylethanolamide	0	0	NA	NA	NA	6	2	0.000390885379400466	0.000571294016046834	IL4/IL6	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
putrescine	20	0	NA	NA	NA	23	0	NA	NA	NA	1070	22	2.35939082619666e-08	7.23546520033644e-08	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
pyridoxamine	0	0	NA	NA	NA	25	0	NA	NA	NA	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
sebacate	0	0	NA	NA	NA	6	0	NA	NA	NA	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
sphingosine	48	0	NA	NA	NA	38	0	NA	NA	NA	36	0	NA	NA	NA
suberate	0	0	NA	NA	NA	1	0	NA	NA	NA	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
taurine	99	0	NA	NA	NA	44	0	NA	NA	NA	262	15	6.17918607769302e-12	3.15825066193199e-11	PON1/IL4/SELL/CRP/IL6/ICAM1/ABCB1/IL18/UGT1A1/PRF1/MMP1/NR1I2/APOA4/TLR4/TNF
undecanedionate	0	0	NA	NA	NA	259	5	0.0111195580330879	0.0124277413310982	TLR2/IL8/PTGS2/TLR4/PGF	438	13	4.26448777887474e-07	7.26542362326808e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
urobilin	0	0	NA	NA	NA	52	5	7.17067497660373e-06	0.0000123857113232246	IL6/IL18/UGT1A1/TLR4/TNF	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
urobilin*	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
