Database	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
KEGG Pathways	hsa04540	(KEGG)Gap junction	28/396	88/8673	6.75552740219844e-17	1.39042428864813e-15	8.70425592244366e-16	GNA11/ADCY7/HTR2B/PLCB2/ADCY3/HTR2C/PLCB3/GRM1/ADCY8/GNAQ/ADCY9/ADCY1/GRM5/ADCY6/ADCY4/GNAI2/DRD1/PLCB4/PLCB1/ADCY2/GNAI1/LPAR1/DRD2/ADRB1/GNAI3/GNAS/HTR2A/ADCY5	28
KEGG Pathways	hsa04270	(KEGG)Vascular smooth muscle contraction	34/396	134/8673	7.3502605567302e-17	1.39042428864813e-15	8.70425592244366e-16	GNA11/ADCY7/PLCB2/ADCY3/AGTR1/ADM/PLCB3/ADCY8/GNAQ/PTGIR/ADCY9/ADCY1/AVPR1A/ADORA2B/ADRA1B/ADCY6/ADCY4/EDNRA/CALCA/PLCB4/ADORA2A/EDN3/PLCB1/ADCY2/CALCB/AGT/GNAS/EDN2/EDN1/ADRA1D/AVP/ADRA1A/ADM2/ADCY5	34
KEGG Pathways	hsa04923	(KEGG)Regulation of lipolysis in adipocytes	23/396	58/8673	1.59031091604794e-16	2.77692752263756e-15	1.73839654790666e-15	NPY/ADCY7/ADCY3/PIK3CA/PIK3R1/ADCY8/ADCY9/ADCY1/TSHR/ADRB2/ADORA1/ADCY6/ADCY4/GNAI2/ADCY2/GNAI1/ADRB3/PTGER3/NPY1R/ADRB1/GNAI3/GNAS/ADCY5	23
KEGG Pathways	hsa04971	(KEGG)Gastric acid secretion	25/396	76/8673	1.34038634113023e-15	2.17334071026116e-14	1.36054252671114e-14	CFTR/ADCY7/CHRM3/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/SST/ADCY9/ADCY1/ADCY6/ADCY4/GNAI2/GAST/PLCB4/CCKBR/PLCB1/ADCY2/GNAI1/SSTR2/GNAI3/GNAS/HRH2/ADCY5	25
KEGG Pathways	hsa04750	(KEGG)Inflammatory mediator regulation of TRP channels	28/396	98/8673	1.5651657940009e-15	2.36861756825469e-14	1.48278864694822e-14	BDKRB1/PTGER2/ADCY7/HTR2B/PLCB2/ADCY3/PIK3CA/KNG1/PIK3R1/HTR2C/PLCB3/ADCY8/GNAQ/ADCY9/F2RL1/ADCY1/PTGER4/BDKRB2/P2RY2/ADCY6/ADCY4/PLCB4/PLCB1/ADCY2/GNAS/HTR2A/HRH1/ADCY5	28
KEGG Pathways	hsa04022	(KEGG)cGMP-PKG signaling pathway	36/396	166/8673	1.93055941048311e-15	2.73898116362292e-14	1.71464158167908e-14	GNA11/OPRD1/RGS2/ADCY7/PLCB2/ADCY3/KNG1/AGTR1/PLCB3/ADRA2A/ADCY8/GNAQ/ADCY9/ADCY1/ADRB2/ADRA1B/BDKRB2/ADORA1/ADCY6/ADCY4/GNAI2/EDNRA/PLCB4/PLCB1/ADCY2/GNAI1/ADRB3/ADRB1/ADORA3/GNAI3/EDNRB/ADRA1D/ADRA1A/ADRA2C/ADRA2B/ADCY5	36
KEGG Pathways	hsa04724	(KEGG)Glutamatergic synapse	30/396	115/8673	2.30138236268127e-15	3.07302233134499e-14	1.92375615456329e-14	GRM6/ADCY7/PLCB2/ADCY3/PLCB3/GRM1/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/GRM5/ADCY6/ADCY4/ADRBK1/GNAI2/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/GRM8/GRM7/GRM3/GNAI3/GNAS/GRM4/GNB1/GRM2/ADCY5	30
KEGG Pathways	hsa04935	(KEGG)Growth hormone synthesis, secretion and action	30/396	120/8673	8.08628958573471e-15	1.01977096442321e-13	6.38391283084319e-14	GNA11/GHRH/GHSR/ADCY7/PLCB2/ADCY3/PIK3CA/SSTR1/PIK3R1/PLCB3/ADCY8/GNAQ/SST/SSTR5/ADCY9/ADCY1/ADCY6/ADCY4/GNAI2/GHRHR/GSK3B/SSTR3/PLCB4/PLCB1/ADCY2/GNAI1/SSTR2/GNAI3/GNAS/ADCY5	30
KEGG Pathways	hsa04725	(KEGG)Cholinergic synapse	28/396	113/8673	8.37068750180091e-14	1.00007687521516e-12	6.26062500134694e-13	GNA11/ADCY7/CHRM3/PLCB2/ADCY3/PIK3CA/PIK3R1/PLCB3/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/CHRM1/ADCY6/ADCY4/GNAI2/CHRM2/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/GNAI3/GNB1/CHRM5/CHRM4/ADCY5	28
KEGG Pathways	hsa04713	(KEGG)Circadian entrainment	25/396	97/8673	7.13572253533977e-13	8.09904507761064e-12	5.07011864353089e-12	ADCY7/MTNR1B/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/MTNR1A/ADCY6/ADCY4/GNAI2/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/GNB1/ADCYAP1R1/ADCYAP1/ADCY5	25
KEGG Pathways	hsa04926	(KEGG)Relaxin signaling pathway	28/396	129/8673	2.84031618994309e-12	3.07024654817658e-11	1.92201847439758e-11	ADCY7/PLCB2/ADCY3/GNA15/PIK3CA/PIK3R1/PLCB3/ADCY8/ADCY9/ADCY1/RXFP2/RXFP1/ADCY6/ADCY4/GNAI2/RXFP3/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/RXFP4/GNAI3/GNAS/EDNRB/GNB1/EDN1/ADCY5	28
KEGG Pathways	hsa04927	(KEGG)Cortisol synthesis and secretion	20/396	65/8673	4.11576149340745e-12	4.24671754092496e-11	2.65850622779907e-11	GNA11/ADCY7/PLCB2/ADCY3/POMC/AGTR1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/MC2R/PLCB4/PLCB1/ADCY2/AGT/GNAS/ADCY5	20
KEGG Pathways	hsa04970	(KEGG)Salivary secretion	23/396	93/8673	1.53790737410281e-11	1.51784771270147e-10	9.50194487431945e-11	ADCY7/CHRM3/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADRB2/ADRA1B/ADCY6/ADCY4/VAMP2/PLCB4/PLCB1/ADCY2/ADRB3/ADRB1/GNAS/ADRA1D/ADRA1A/ADCY5	23
KEGG Pathways	hsa05163	(KEGG)Human cytomegalovirus infection	36/396	225/8673	2.89186268415947e-11	2.73522012210083e-10	1.71228711562074e-10	GNA11/PTGER2/ADCY7/PLCB2/ADCY3/PIK3CA/PIK3R1/PLCB3/ADCY8/GNAQ/CCR5/PTGER1/CCL5/ADCY9/CCR1/ADCY1/PTGER4/IL8/ADCY6/ADCY4/GNAI2/CXCR2/GSK3B/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/PTGER3/GNAI3/GNAS/GNB1/CXCL12/CXCR4/ADCY5/CCR3	36
KEGG Pathways	hsa04060	(KEGG)Cytokine-cytokine receptor interaction	42/396	297/8673	3.72594465818948e-11	3.38315774963604e-10	2.11790538465507e-10	CXCL6/CCR7/CCL21/CCL27/CXCR7/CXCL13/CXCR5/CCR2/CCR5/CCL5/CCL16/CXCL16/CXCR1/CXCL3/CXCL5/PPBP/CCR1/PRL/CXCR6/CXCL10/IL8/CXCL11/CCL19/XCR1/CXCR2/CCR8/CCR10/CCR4/CCR6/CCR9/CCL20/CCL28/CXCL9/XCL1/XCL2/CXCR3/CCL25/CXCL1/CXCL12/CXCR4/CXCL2/CCR3	42
KEGG Pathways	hsa04611	(KEGG)Platelet activation	26/396	124/8673	4.0048881154976e-11	3.49657539314598e-10	2.18890645988735e-10	F2RL3/ADCY7/PLCB2/ADCY3/PIK3CA/PIK3R1/PLCB3/ADCY8/GNAQ/PTGIR/ADCY9/ADCY1/P2RY1/P2RY12/ADCY6/ADCY4/GNAI2/F2R/PLCB4/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/TBXA2R/ADCY5	26
KEGG Pathways	hsa04015	(KEGG)Rap1 signaling pathway	34/396	210/8673	7.57857786858047e-11	6.37161917099172e-10	3.98872519398972e-10	F2RL3/ADCY7/PLCB2/ADCY3/PIK3CA/PIK3R1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/FPR1/ADORA2B/P2RY1/ADCY6/ADCY4/GNAI2/F2R/LPAR5/PLCB4/ADORA2A/PLCB1/ADCY2/GNAI1/LPAR1/DRD2/CNR1/GNAI3/LPAR3/GNAS/LPAR4/LPAR2/RGS14/ADCY5	34
KEGG Pathways	hsa04916	(KEGG)Melanogenesis	23/396	101/8673	9.45145792967353e-11	7.6624319644139e-10	4.79679255829296e-10	ADCY7/PLCB2/ADCY3/POMC/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/GNAI2/GSK3B/PLCB4/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/EDNRB/EDN1/ADCY5/MC1R	23
KEGG Pathways	hsa04728	(KEGG)Dopaminergic synapse	26/396	132/8673	1.74389380182897e-10	1.36504790694888e-09	8.54539612511474e-10	DRD4/PLCB2/SLC6A3/SLC18A1/PLCB3/GNAQ/KCNJ3/SLC18A2/DRD5/GNAI2/GSK3B/DRD1/PLCB4/GNG2/PLCB1/MAOA/GNAI1/DDC/COMT/DRD2/GNAI3/GNAS/MAOB/GNB1/DRD3/ADCY5	26
KEGG Pathways	hsa00380	(KEGG)Tryptophan metabolism	15/396	42/8673	1.91506401334009e-10	1.44906510342733e-09	9.07135585266358e-10	TPH1/AANAT/ALDH2/TPH2/MAOA/ALDH3A2/ALDH9A1/DDC/AOX1/ALDH1B1/MAOB/ASMT/ALDH7A1/IDO1/IDO2	15
KEGG Pathways	hsa05030	(KEGG)Cocaine addiction	16/396	49/8673	2.21658048384102e-10	1.62310893494165e-09	1.01608952569962e-09	PDYN/SLC6A3/SLC18A1/SLC18A2/GNAI2/DRD1/MAOA/GNAI1/DDC/DRD2/GRM3/GNAI3/GNAS/MAOB/GRM2/ADCY5	16
KEGG Pathways	hsa04928	(KEGG)Parathyroid hormone synthesis, secretion and action	23/396	106/8673	2.67023475237955e-10	1.89419777746924e-09	1.18579503806329e-09	GNA11/ADCY7/PLCB2/ADCY3/PLCB3/PTH/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/GNAI2/PTH1R/PLCB4/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/PTHLH/ADCY5/CASR	23
KEGG Pathways	hsa05032	(KEGG)Morphine addiction	21/396	91/8673	4.84542932166738e-10	3.33306804854089e-09	2.08654851172279e-09	ADCY7/ADCY3/ADCY8/ADCY9/KCNJ3/ADCY1/ADORA1/ADCY6/ADCY4/ADRBK1/GNAI2/DRD1/GNG2/ADCY2/GNAI1/GNAI3/GNAS/GNB1/GRK5/OPRM1/ADCY5	21
KEGG Pathways	hsa04934	(KEGG)Cushing syndrome	27/396	155/8673	1.39485377937525e-09	9.31270023288767e-09	5.82988421720304e-09	GNA11/ADCY7/PLCB2/ADCY3/POMC/AGTR1/CRH/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/GNAI2/GSK3B/MC2R/PLCB4/PLCB1/CRHR2/ADCY2/GNAI1/AGT/GNAI3/GNAS/CRHR1/ADCY5	27
KEGG Pathways	hsa04915	(KEGG)Estrogen signaling pathway	25/396	137/8673	2.12641896859715e-09	1.37913458820444e-08	8.63358077475536e-09	ADCY7/PLCB2/ADCY3/PIK3CA/POMC/PIK3R1/PLCB3/GRM1/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/GPER/ADCY6/ADCY4/GNAI2/PLCB4/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/OPRM1/ADCY5	25
KEGG Pathways	hsa04972	(KEGG)Pancreatic secretion	21/396	102/8673	4.47218953514973e-09	2.81996395688608e-08	1.76533797440121e-08	CFTR/SCTR/SCT/ADCY7/CHRM3/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/CCKAR/ADCY1/ADCY6/ADCY4/PLCB4/CCK/PLCB1/ADCY2/GNAS/ADCY5	21
KEGG Pathways	hsa04261	(KEGG)Adrenergic signaling in cardiomyocytes	26/396	154/8673	5.65098142897584e-09	3.46695347129058e-08	2.17036271098645e-08	ADCY7/PLCB2/ADCY3/AGTR1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADRB2/ADRA1B/ADCY6/ADCY4/GNAI2/PLCB4/PLCB1/ADCY2/GNAI1/AGT/ADRB1/GNAI3/GNAS/AGTR2/ADRA1D/ADRA1A/ADCY5	26
KEGG Pathways	hsa04925	(KEGG)Aldosterone synthesis and secretion	20/396	98/8673	1.23202808488907e-08	7.35974671762684e-08	4.60730724265997e-08	GNA11/ADCY7/PLCB2/ADCY3/POMC/AGTR1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/MC2R/PLCB4/PLCB1/ADCY2/AGT/GNAS/ADCY5	20
KEGG Pathways	hsa05142	(KEGG)Chagas disease	20/396	102/8673	2.52798488196596e-08	1.47141684155454e-07	9.21128094643466e-08	GNA11/C3/PLCB2/GNA15/PIK3CA/KNG1/PIK3R1/PLCB3/GNAQ/CCL5/ADCY1/IL8/BDKRB2/GNAI2/PLCB4/PLCB1/GNAI1/GNAI3/GNAS/GNA14	20
KEGG Pathways	hsa04912	(KEGG)GnRH signaling pathway	19/396	93/8673	2.81717415794628e-08	1.59874633463452e-07	1.00083818769144e-07	GNA11/GNRHR/GNRH2/ADCY7/PLCB2/ADCY3/GNRH1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/ADCY6/ADCY4/PLCB4/PLCB1/ADCY2/GNAS/ADCY5	19
KEGG Pathways	hsa04723	(KEGG)Retrograde endocannabinoid signaling	24/396	148/8673	4.95943237671603e-08	2.74583207198668e-07	1.7189303487976e-07	ADCY7/PLCB2/ADCY3/PLCB3/GRM1/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/GRM5/ADCY6/ADCY4/GNAI2/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/CNR1/GNAI3/GNB1/ADCY5/RIMS1	24
KEGG Pathways	hsa04918	(KEGG)Thyroid hormone synthesis	16/396	75/8673	1.89560245241919e-07	1.02452799214085e-06	6.41369250818523e-07	ADCY7/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/TSHR/ADCY6/ADCY4/PLCB4/PLCB1/ADCY2/GNAS/ADCY5	16
KEGG Pathways	hsa04371	(KEGG)Apelin signaling pathway	22/396	139/8673	2.80970311916346e-07	1.48326187918629e-06	9.28543258475073e-07	ADCY7/APLNR/PLCB2/ADCY3/AGTR1/PLCB3/ADCY8/GNAQ/ADCY9/ADCY1/APLN/ADCY6/ADCY4/GNAI2/PLCB4/GNG2/PLCB1/ADCY2/GNAI1/GNAI3/GNB1/ADCY5	22
KEGG Pathways	hsa04976	(KEGG)Bile secretion	17/396	89/8673	4.25094668559344e-07	2.19310204006753e-06	1.3729134032419e-06	CFTR/SCTR/SCT/ADCY7/ADCY3/UGT2B10/ADCY8/ADCY9/ADCY1/UGT1A6/ADCY6/ADCY4/CYP3A4/ADCY2/GNAS/UGT2B11/ADCY5	17
KEGG Pathways	hsa04071	(KEGG)Sphingolipid signaling pathway	20/396	121/8673	4.81137024681083e-07	2.42706899116902e-06	1.51938007794026e-06	OPRD1/S1PR4/PLCB2/PIK3CA/KNG1/PIK3R1/PLCB3/GNAQ/S1PR1/BDKRB2/ADORA1/GNAI2/S1PR5/PLCB4/PLCB1/GNAI1/S1PR3/ADORA3/GNAI3/S1PR2	20
KEGG Pathways	hsa04929	(KEGG)GnRH secretion	14/396	64/8673	8.0570717460081e-07	3.97598975292139e-06	2.48902674075765e-06	GNA11/KISS1R/GNRH2/PLCB2/PIK3CA/PIK3R1/GNRH1/PLCB3/GNAQ/KCNJ3/GPER/PLCB4/PLCB1/KISS1	14
KEGG Pathways	hsa04921	(KEGG)Oxytocin signaling pathway	22/396	154/8673	1.70033229963702e-06	8.21224323441712e-06	5.14098231693165e-06	OXT/RGS2/ADCY7/PLCB2/ADCY3/PLCB3/ADCY8/GNAQ/ADCY9/KCNJ3/ADCY1/ADCY6/ADCY4/GNAI2/OXTR/PLCB4/PLCB1/ADCY2/GNAI1/GNAI3/GNAS/ADCY5	22
KEGG Pathways	hsa04913	(KEGG)Ovarian steroidogenesis	12/396	51/8673	2.18654645480552e-06	0.0000103405426091844	6.47332832014792e-06	ADCY7/ADCY3/ADCY8/ADCY9/LHCGR/ADCY1/ADCY6/ADCY4/ADCY2/GNAS/FSHR/ADCY5	12
KEGG Pathways	hsa04730	(KEGG)Long-term depression	13/396	60/8673	2.24491241924701e-06	0.0000103999003912055	6.51048714496985e-06	GNA11/PLCB2/CRH/PLCB3/GRM1/GNAQ/GNAI2/PLCB4/PLCB1/GNAI1/GNAI3/GNAS/CRHR1	13
KEGG Pathways	hsa05143	(KEGG)African trypanosomiasis	10/396	37/8673	4.04200455469279e-06	0.0000183507006783053	0.0000114878024186006	PLCB2/KNG1/PLCB3/GNAQ/VCAM1/F2RL1/PLCB4/PLCB1/IDO1/IDO2	10
KEGG Pathways	hsa05146	(KEGG)Amoebiasis	16/396	102/8673	0.0000135399951085634	0.0000602662527381155	0.0000377275405501766	GNA11/PLCB2/GNA15/PIK3CA/PIK3R1/PLCB3/GNAQ/CXCL3/ADCY1/IL8/PLCB4/PLCB1/GNAS/GNA14/CXCL1/CXCL2	16
KEGG Pathways	hsa00982	(KEGG)Drug metabolism - cytochrome P450	13/396	72/8673	0.0000187000982900507	0.0000816331213815673	0.0000511035074728105	CYP2C9/UGT2B10/CYP2A6/UGT1A6/ADH1B/CYP3A4/MAOA/CYP2D6/CYP2C19/AOX1/MAOB/ADH6/UGT2B11	13
KEGG Pathways	hsa04961	(KEGG)Endocrine and other factor-regulated calcium reabsorption	11/396	53/8673	0.0000210608458765327	0.00009020400026364	0.000056469000860614	PLCB2/PLCB3/PTH/GNAQ/ADCY9/BDKRB2/ADCY6/PTH1R/PLCB4/PLCB1/GNAS	11
KEGG Pathways	hsa00340	(KEGG)Histidine metabolism	7/396	22/8673	0.0000368505088038242	0.000154908620342002	0.0000969750231679584	ALDH2/MAOA/ALDH3A2/ALDH9A1/ALDH1B1/MAOB/ALDH7A1	7
KEGG Pathways	hsa00053	(KEGG)Ascorbate and aldarate metabolism	8/396	30/8673	0.0000424464684037711	0.000175188151411928	0.00010967030113893	ALDH2/UGT2B10/UGT1A6/ALDH3A2/ALDH9A1/ALDH1B1/ALDH7A1/UGT2B11	8
